data_name,size,algorithm,execution_time,memory_usage,comparisons,swaps,recursion_depth,correctness,error
sorted_data,15000,QuickSortLomuto_median_of_three,0.06453909999981988,0.0,178631,103641,12,True,
sorted_data,15000,QuickSortHoare_median_of_three,0.06202879999909783,0.0,235883,24998,14,True,
sorted_data,15000,QuickSortLomuto_median_of_random_three,0.09446759999991627,0.0,209465,123593,23,True,
sorted_data,15000,QuickSortHoare_median_of_random_three,0.1005012000023271,0.0,261867,24484,23,True,
sorted_data,15000,QuickSortDualPivot,9.961689299998397,1.2734375,56250000,15000,7499,True,
sorted_data,15000,QuickSortThreeWay,0.13580709999951068,0.0,208415,216988,24,True,
random_data,15000,QuickSortLomuto_last,0.07901819999824511,0.0,243473,153678,35,True,
random_data,15000,QuickSortHoare_last,0.0731660000019474,0.0,369235,61483,37,True,
random_data,15000,QuickSortLomuto_random,0.08404139999765903,0.0,279231,150541,36,True,
random_data,15000,QuickSortHoare_random,0.07670430000143824,0.0,296321,64502,32,True,
random_data,15000,QuickSortLomuto_median_of_three,0.07023589999880642,0.0,202965,123220,22,True,
random_data,15000,QuickSortHoare_median_of_three,0.08182169999781763,0.0,279328,67938,29,True,
random_data,15000,QuickSortLomuto_median_of_random_three,0.09477540000079898,0.0,213123,125720,23,True,
random_data,15000,QuickSortHoare_median_of_random_three,0.11515729999518953,0.0,265698,68330,25,True,
random_data,15000,QuickSortDualPivot,0.05807030000141822,0.0,166607,111437,21,True,
random_data,15000,QuickSortThreeWay,0.12149229999340605,0.0,202241,210698,21,True,
almost_sorted_data,15000,QuickSortLomuto_last,5.838431099997251,0.72265625,28625747,12829152,4601,True,
almost_sorted_data,15000,QuickSortHoare_last,3.6875943999984884,0.87109375,33679212,29996,5231,True,
almost_sorted_data,15000,QuickSortLomuto_random,0.08873459999449551,0.0,248546,159028,30,True,
almost_sorted_data,15000,QuickSortHoare_random,0.07060160000401083,0.0,300511,25777,34,True,
almost_sorted_data,15000,QuickSortLomuto_median_of_three,0.5008830000006128,0.15234375,4728096,58359,1018,True,
almost_sorted_data,15000,QuickSortHoare_median_of_three,0.06898129999899538,0.0,244594,25012,17,True,
almost_sorted_data,15000,QuickSortLomuto_median_of_random_three,0.09713139999803388,0.0,220720,131243,25,True,
almost_sorted_data,15000,QuickSortHoare_median_of_random_three,0.09674869999435032,0.0,258692,24441,24,True,
almost_sorted_data,15000,QuickSortDualPivot,1.0385262000054354,0.10546875,2722482,1549176,843,True,
almost_sorted_data,15000,QuickSortThreeWay,0.1625041999941459,0.0,200668,209267,22,True,
reverse_sorted_data,15000,QuickSortLomuto_last,25.711488399996597,2.53125,112492500,56272498,14998,True,
reverse_sorted_data,15000,QuickSortHoare_last,12.617818400001852,2.46875,112529997,22498,14998,True,
reverse_sorted_data,15000,QuickSortLomuto_random,0.08658270000159973,0.0,259567,140073,33,True,
reverse_sorted_data,15000,QuickSortHoare_random,0.07299719999718945,0.0,312791,33338,33,True,
reverse_sorted_data,15000,QuickSortLomuto_median_of_three,0.10943910000059986,0.0,359914,228920,31,True,
reverse_sorted_data,15000,QuickSortHoare_median_of_three,0.06504700000368757,0.0,235885,32498,14,True,
reverse_sorted_data,15000,QuickSortLomuto_median_of_random_three,0.09613469999749213,0.0,215220,130601,23,True,
reverse_sorted_data,15000,QuickSortHoare_median_of_random_three,0.1695668999964255,0.0,265884,32762,27,True,
reverse_sorted_data,15000,QuickSortDualPivot,9.516578599999775,1.2890625,56250000,22500,7499,True,
reverse_sorted_data,15000,QuickSortThreeWay,0.19831060000433354,0.0,210929,219503,24,True,
triangular_data,15000,QuickSortLomuto_last,4.7801900999984355,0.42578125,13267223,13084268,2726,True,
triangular_data,15000,QuickSortHoare_last,0.13248079999902984,0.0,856847,64387,112,True,
triangular_data,15000,QuickSortLomuto_random,0.08169579999957932,0.0,237457,138402,31,True,
triangular_data,15000,QuickSortHoare_random,0.0751040000031935,0.0,293414,68150,29,True,
triangular_data,15000,QuickSortLomuto_median_of_three,4.854535300000862,0.30859375,13247846,13079670,2726,True,
triangular_data,15000,QuickSortHoare_median_of_three,0.12944160000188276,0.0,653069,68135,72,True,
triangular_data,15000,QuickSortLomuto_median_of_random_three,0.10527610000281129,0.00390625,216422,133090,21,True,
triangular_data,15000,QuickSortHoare_median_of_random_three,0.10663519999798154,0.0,264982,69162,25,True,
triangular_data,15000,QuickSortDualPivot,1.2409883000000264,0.15234375,3186656,3193558,1033,True,
triangular_data,15000,QuickSortThreeWay,0.11599799999385141,0.0,209218,209218,24,True,
few_unique_data,15000,QuickSortLomuto_last,8.365737000000081,0.48828125,22525160,22540227,3060,True,
few_unique_data,15000,QuickSortHoare_last,0.07279420000122627,0.0,242165,107137,19,True,
few_unique_data,15000,QuickSortLomuto_random,8.94300099999964,0.48828125,22525160,22540227,3060,True,
few_unique_data,15000,QuickSortHoare_random,0.0852177999986452,0.0,237545,107622,18,True,
few_unique_data,15000,QuickSortLomuto_median_of_three,8.242667999998957,0.5,22531278,22546347,3062,True,
few_unique_data,15000,QuickSortHoare_median_of_three,0.09158279999974184,0.0,238456,107527,19,True,
few_unique_data,15000,QuickSortLomuto_median_of_random_three,7.453131599999324,0.48046875,22546223,22561361,3061,True,
few_unique_data,15000,QuickSortHoare_median_of_random_three,0.1267227999996976,0.0,239158,107620,18,True,
few_unique_data,15000,QuickSortDualPivot,2.107806400003028,0.234375,11273701,26966,1530,True,
few_unique_data,15000,QuickSortThreeWay,0.01732110000011744,0.0,33122,18132,2,True,
identical_elements,20000,QuickSortLomuto_last,71.59725959999923,3.42578125,199990000,200029998,19998,True,
identical_elements,20000,QuickSortHoare_last,0.09780029999819817,0.0,318430,159215,14,True,
identical_elements,20000,QuickSortLomuto_random,67.3928156999973,3.359375,199990000,200029998,19998,True,
identical_elements,20000,QuickSortHoare_random,0.11882229999901028,0.0,318430,159215,14,True,
identical_elements,20000,QuickSortLomuto_median_of_three,67.88025009999546,3.37890625,199990000,200029998,19998,True,
identical_elements,20000,QuickSortHoare_median_of_three,0.12102579999918817,0.0,318430,159215,14,True,
